Id,Name,Text,TypeSpeed,FontAsset,FontStyle,FontSize,FontColor,VoiceIndex,Tag
0,,,,,,,,,
1,,"누군가 태어난 기념일.<pause> 세상에서 가장 유명한 생일.<pause> 신앙의 영역을 벗어난 축제는, 이교의 신도 즐길 수 있는 자리가 되었다.",,,,,,,
2,매니저,<size=60>그래도 이건 좀 아니지!</size>,,,,,,,
3,제우스,오. 매니저 왔느냐?,,,,,,,
4,매니저,레슨 좀 빼달라고 사정사정하길래 뭘 하나 했더니...,,,,,,,
5,,"들켰다는 표정으로 서 있는 노란색 괴생명체.<pause> 그 주위는 쥐덫, 곰덫, 지뢰 등 아이돌과는 전혀 어울리지 않는 도구들로 어질러져 있다.",,,,,,,
6,제우스,"이, 이건...",,,,,,,
7,제우스,"다음 무대에 사용할 소품이니라!<pause> 가장 위대한 신,<pause> 이 제우스가 솔선수범하여 테스트하고 있었지.",,,,,,,
8,매니저,......,,,,,,,
9,제우스,"윽,<pause=0.5> 너무 성의 없는 변명이었나...",,,,,,,
10,제우스,"크흠, 내 말을 들어 보거라!<pause> 곧 인간계에 크리스마스라는 축제가 열리지 않느냐!<pause> 이 경사스러운 날,<pause> 어찌 최고주신인 짐이 아들놈처럼 방구석에서 탱자탱자 놀고 있겠는가?",,,,,,,
11,,다급하게 열변을 토해내는 제우스.<pause> 제우스의 정신사나운 모습이야 늘 봐오던 것이었지만 오늘은 그 정도가 유독 심하다.<pause> 어쩌면 제우스도 크리스마스에 들뜰 나이가 된 건가.,,,,,,,
12,제우스,"이상한 망상을 하는 것 같다만,<pause> 매니저여 잘 생각해 보거라.<pause> 우리가 왜 아이돌을 해야 하지?",,,,,,,
14,매니저,열등한 인간한테 숭배받는 우월감 때문에?,,,,,,,
15,제우스,그래그래 열등한 필멸자에게 숭배받-,,,,,,,
16,제우스,"아, 아니 그게 아니지!<pause> 이건 전부 신앙 때문이 아니더냐.",,,,,,,
17,,제우스의 말을 종합하자면 이랬다.,,,,,,,
18,,"크리스마스,<pause> 숙소에 부비트랩 설치,<pause> 신앙이 필요한 제우스<pause> 그렇다면 결론은...",,,,,,,
19,매니저,산타 할아버지한테서 신앙을 받아내려고?,,,,,,,
20,제우스,"그렇지!<pause> 역시 나의 신관답구나.<pause> 산타는 필시 어마어마한 신앙을 가지고 있을 터.<pause> 이를 손에 넣는다면 낙천 전의 그 위대하고 ARISTOS한 짐으로 돌아갈 수 있다!",,,,,,,
21,,역시 편법에 대해서만큼은 누구보다 두뇌 회전이 빠른 제우스.,,,,,,,
22,매니저,"그럼 저희 이제 퇴출당할 걱정은 하지 않아도 되는 겁니까,<pause> 위대하고 전능하신 제우스님?",,,,,,,
23,제우스,이 녀석이 아첨하는 척하면서 아픈 구석을…,,,,,,,
24,제우스,"하지만 그래.<pause> 이제 겨울에 난방비로 벌벌 떨 일도,<pause> 여름에 에어컨도 못 틀어서 포세이돈이 쪼그라들 일도 없을 것이다!",,,,,,,
25,매니저,(신앙을 되찾고 나서 하겠다는 게 고작 에어컨이라니...<pause> 작은 행복과 낙천적인 발상은 좋지만 말이야.),,,,,,,
26,매니저,하지만 한 가지 큰 문제가 있어.,,,,,,,
27,제우스,무엇이 말이냐?,,,,,,,
28,매니저,산타 할아버지는 착한 아이한테만 선물을 주시거든.,,,,,,,
29,,착함은 둘째 치더라도 제우스는 아이가 아니다.<pause> 우리 회사도 아동착취 회사가 아니고.,,,,,,,
30,제우스,하하! 걱정하지 말거라. 짐이 전부 대책을 세워놓았느니라!,,,,,,,
31,제우스,그러니 그대는 앞으로의 일에 대해서만 생각하거라. 내 올림포스로 돌아간다면 지금까지 애써준 우리 매니저도 절대 잊지 않을 것이니!,,,,,,,
32,매니저,말은 좀 이상해도 감동적인걸.,,,,,,,
33,제우스,매니저여. 짐은 감정적인 신일지언정 은혜를 모르는 신이 아니다.,,,,,,,
34,,"자신만만한 표정으로 쳐다보는 제우스. 우쭐대는 얼굴이 평소와 같았지만, 역시 이래야 제우스지 라는 생각이 들게 한다.",,,,,,,
35,매니저,(아니 제우스다우면 큰일 난 거잖아.),,,,,,,
36,매니저,이번에는 사고 안칠 거지?,,,,,,,
37,제우스,그대는 대체 짐을 뭘로 보는 것이냐…<pause> 계획은 완벽하다!<pause> 자 이제 산타 맞이 준비를 해야 하니 어서 나가 보도록 하여라.,,,,,,,
38,,약간 뾰로통한 표정으로 제우스가 나를 내보냈다.<pause> 클대로 커버린 어른이 크리스마스 분위기를 내려니 부끄러웠던 모양이다.,,,,,,,
39,매니저,(그래도 크리스마스는 크리스마스인가.<pause> 신조차 저렇게 들뜨다니.),,,,,,,
40,,"들뜬 만큼, 진실을 알게 되면 충격받을 게 분명한데.",,,,,,,
41,매니저,(역시 여기서는 매니저로서 책임을 져야…),,,,,,,
42,,<size=36>살금살금</size>,,,,,,,
43,,방 안에 설치된 부비트랩을 피하며 조용하게 이동한다. 낙천했다 한들 신은 신이다. 그들에게 들키지 않으려면 빠르게 선물만 두고 가는 수밖에.,,,,,,,
44,매니저,(제우스에게 줄 선물이라면 역시…),,,,,,,
45,,"가장 아름다운 여신에서 바쳐졌다는 황금사과.<pause> 그 모형을 양말에 넣는다.<pause> 스스로를 최고로 위대하다 여기는 제우스라면, 분명 좋아할테니.",,,,,,,
46,매니저,(쓸데없이 감이 좋은 제우스에게 들키기 전에 넣고 가야-),,,,,,,
47,???,거기까지다.,,,,,,,
48,,"찌릿찌릿한 정전기와 함께,<pause> 등 뒤에 익숙한 촉감이 닿는다.",,,,,,,
49,???,"올 줄 알았노라 산타!<pause> 포세이돈도 아폴론도 믿지 않았지만,<pause> 심지어 매니저도 못 믿는 눈치였지만,<pause> 역시! 짐이 틀릴 리가 없지!",,,,,,,
50,,아폴론이랑 포세이돈한테도 말했던 건가...,,,,,,,
51,매니저,"그,<pause> 저-",,,,,,,
52,???,"조용히 해라! 짐은 인내심이 깊은 신이 아니다.<pause> 어서 선물을, 아니 신앙을 내놓거라 산타여.",,,,,,,
53,,일단 여기서는 당황하지 않고 침착하게 대화를 해야 한다.,,,,,,,
54,매니저,저기 제우스 일단 그 정전기는 좀 치우고 진정을…,,,,,,,
55,제우스,!!!<pause=1.0> 감히 나의 매니저까지 사칭하다니...,,,,,,,
56,제우스,전세계 아이들의 구세주라는 건 전부 위선이었구나!<pause> 말로 해서는 안 되겠으니. 우선-,,,,,,,
57,제우스,아스트라페로 좀 지져놓아주마.,,,,,,,
58,매니저,"(아, 안돼.)",,,,,,,
59,매니저,사무실에서 아스트라페는 안돼!,,,,,,,
60,매니저,"히터,<pause> 전자레인지,<pause> 청소기,<pause> 컴퓨터…<pause> 전부 산 지 한 달도 안됐다고!",,,,,,,
61,제우스,"어, 어어?!<pause> 네 이놈!<pause> 갑자기 짐을 밀어버리면-",,,,,,,
62,,콰당!!,,,,,,,
63,,무언가 넘어지는 소리와 함께 아스트라페가 사방으로 난사된다.,,,,,,,
64,,아스트라페 때문인 건지 어두웠던 방은 환하게 밝아졌다.<pause><br>그리고 산타클로스를 잡아서 막대한 신앙을 벌어오겠다던 제우스는…,,,,,,,
65,,아이러니하게도 자기 자신부터 산타가 되어있었다.,,,,,,,
66,매니저,......,,,,,,,
67,제우스,"...<pause>짐도 지금이 얼마나 어처구니없는 상황인지는 알고 있으니, 그런 눈으로 보지 말란 말이다!",,,,,,,
68,매니저,너도 부끄러움이란 감정은 있었구나?,,,,,,,
69,제우스,"짐도 소녀란 말이다, 소녀!<pause> 크윽,<pause> 분명 산타라 생각했는데 하필 이 타이밍에...",,,,,,,
70,매니저,제우스 너야말로 그 나이 먹고 산타를…,,,,,,,
71,매니저,아니 산타를 믿기만 한 게 아니라 포획하려 하다니.,,,,,,,
72,제우스,에잇. 신도 있는 세상인데 그깟 산타가 없겠느냐!,,,,,,,
73,제우스,그리고 여기서 나이 얘기가 왜 나와!,,,,,,,
74,,"확실히, 설득력은 있는 발언이었다.",,,,,,,
75,제우스,"매니저야말로 대체 왜 이 이곳으로 온 것이냐?<pause> 포획까지 한 걸음이었거늘,<pause> 결국 산타를 놓치지 않았는가!",,,,,,,
76,매니저,?<pause> 그게 왜 내 탓이 되는 거야?,,,,,,,
77,제우스,"모른다!<pause> 하지만 이렇게라도 하지 않으면 너무 억울하지 않으냐!<pause> 아아,<pause> 짐의 완벽하고 위대한 계획이…!",,,,,,,
78,,이렇게 번개신의 허황된 꿈이 막을 내렸다.,,,,,,,
79,,어느 정도 진정된 후.<pause> 투덜거리며 방을 청소하던 제우스에게 말을 건다.,,,,,,,
80,매니저,근데 왜 옷까지 산타의 옷으로 입은 거야?,,,,,,,
81,,"그 말을 듣자 방금 전까지 울상이었던 게 거짓말인 것처럼,<pause> 제우스가 다시 우쭐대기 시작했다.",,,,,,,
82,제우스,매니저도 아직 짐의 지성에 따라오려면 멀었구나.<pause> 이건 이른바 유인전술이라는 것이다!,,,,,,,
83,제우스,이런 모습이라면 철두철미하다는 산타도 동족인 줄 알고 경계를 풀지 않겠느냐.,,,,,,,
84,,핫-하하!!,,,,,,,
85,,자신의 지능에 감탄하며 자랑스러워하는 제우스.,,,,,,,
86,제우스,"뭐 비록 산타는 잡지 못했으나,<pause> 이 실패를 바탕으로 다음에는 성공하면 될 일이다!<pause> 짐은 성장하는 신이니까.",,,,,,,
87,,"그래, 사고를 안 칠 거라고 믿은 내 잘못이다.",,,,,,,
88,제우스,그리고…,,,,,,,
89,제우스,"매니저는 짐의 새로운 모습이라는 선물을 받았으니,<pause> 나도 매니저에게 선물을 받아야 공평한 법.<pause> 아아, 역시 너무나도 공명정대하구나 제우스.",,,,,,,
90,매니저,?,,,,,,,
91,제우스,"부, 분명 보았단 말이다!<pause> 그대가 짐의 양말주머니에 선물을 두려고 하는 모습을.",,,,,,,
92,,역시 쓸데없이 눈치만 빠른...,,,,,,,
93,매니저,하아...<pause> 대단한 건 아니고 그냥 모형 황금사과야.<pause> 그리스의 신이라면 좋아할 것 같아서.,,,,,,,
94,,제우스에게 황금사과를 건네준다.,,,,,,,
95,제우스,"오,<pause> 오오!<pause> 그리운 물건이구나.",,,,,,,
96,제우스,머나먼 이국땅에서...<pause> 그 시절을 생각나게 하는 물건을 받게 될 줄이야!,,,,,,,
97,,추억에 잠긴 제우스가 사과를 보며 혼잣말을 되뇌인다.,,,,,,,
98,제우스,"트로이,<pause=0.5> 아카이아,<pause=0.5> 전쟁<pause=0.5>...",,,,,,,
99,제우스,매니저 그대도 참…<pause> 황금사과가 그리스의 신들에게 어떤 의미인지 알면서도 함부로 이런 걸 선물로 줄 생각을…,,,,,,,
100,,제우스는 사과를 만지며 꽤 긴 시간을 침묵했다.,,,,,,,
101,제우스,"가장 아름다운 여신에게,<pause=0.5> 라...",,,,,,,
102,제우스,"보는 눈은 있구나, 신관이여.",,,,,,,
103,,"제우스의 저 반응을 보니, 역시 다른 신들이 없을 때 주는 것이 정답이었다.",,,,,,,
104,제우스,으응?<pause> 근데 이 사과…,,,,,,,
105,매니저,"어허,<pause> 그거 먹는 거 아니야.",,,,,,,
106,제우스,"아, 아니 그게 아니라!<pause> 신앙이 느껴진단 말이다.<pause> 그것도 꽤 두둑한…<pause> 그대가 한 것이냐 매니저?",,,,,,,
107,,그 사과는 빛나고 있었다. 제우스의 손에 들린 순간부터.,,,,,,,
108,,난 그걸 제우스가 한 것으로 생각했는데.,,,,,,,
109,매니저,아니.<pause> 난 그 사과에 진짜 아무 짓도 안 했어.<pause> 제우스<pause> 네가 마법이라도 쓴 거 아니야?,,,,,,,
110,제우스,그럴 리가!<pause> 그대가 아니면 누가 이 사과에다가 몰래 그런 귀찮은 짓까지…,,,,,,,
111,,다시 한 번 사과를 들어 올리며 생각에 잠기는 제우스.,,,,,,,
112,제우스,......,,,,,,,
113,제우스,그대도 짐도 모르게 이 황금사과에 접촉했다.<pause> 그것도 하필 크리스마스에.,,,,,,,
114,제우스,그리고 꽤 많은 신앙을 아무렇지 않게 나눠줄 수 있는 자.,,,,,,,
115,제우스,짐의 예상으로는 한 명밖에 없구나.,,,,,,,
116,매니저,그러면 정말 이 망해가는 소속사에 산타가!,,,,,,,
117,제우스,아악!<pause> 이 간악한 것!<pause> 내년에는 기필코 잡아서 신앙 배터리로 사용해주마!!,,,,,,,
118,,분이 풀리지 않은 제우스<pause><br>그녀의 동동 구르던 발이 바닥에 있는 지뢰를 밟아 버린다.,,,,,,,
119,제우스,아,,,,,,,
120,매니저,...그거 가짜 맞지?,,,,,,,
121,,<size=96>콰아아앙!!!</size><pause=1.5>,,,,,,,
122,,그 뒤로는…,,,,,,,
123,,선물 받은 황금사과의 신앙을 고작 지뢰나 처리하는 데 사용했다는 그저 그런 따뜻한 크리스마스 이야기.,,,,,,,
124,,<pause=1.0>,,,,,,,